clap_rank,guitar_rank,hat_rank,kick_rank,piano_rank,rim_rank,shake_rank,snare_rank,synth_rank,clap,guitar,hat,kick,piano,rim,shake,snare,synth,oscType_0,isNoise_0,A_0,D_0,S_0,R_0,pitch_0_0,pitch_1_0,pitch_2_0,pitch_3_0,bpCutLow_0,bpCutHigh_0,bpOrder_0,amplitude_0,start_0,length_0
9.0,5.0,2.0,4.0,8.0,3.0,7.0,6.0,1.0,0.0,0.09530279785394669,0.17016302049160004,0.13226564228534698,0.009574978612363338,0.1402471661567688,0.08313683420419693,0.08891879767179489,0.28039076924324036,0,0,1,1,2,2,114,84,88,32,94,95,2,1,0,5
5.0,2.0,4.0,9.0,3.0,7.0,8.0,6.0,1.0,0.10081528127193451,0.19325731694698334,0.12280332297086716,0.0,0.15133558213710785,0.09455204010009766,0.02239280752837658,0.09827867895364761,0.21656496822834015,0,1,3,1,0,1,54,100,24,96,64,89,1,0,5,4
8.0,6.0,2.0,5.0,7.0,9.0,4.0,3.0,1.0,0.01594926230609417,0.06838559359312057,0.25483864545822144,0.07831903547048569,0.02154119871556759,0.0,0.09822442382574081,0.16446425020694733,0.2982776165008545,1,0,1,2,1,0,20,80,40,64,112,119,0,1,5,0
9.0,5.0,2.0,3.0,6.0,4.0,8.0,7.0,1.0,0.0,0.12694644927978516,0.16290774941444397,0.15307818353176117,0.04934057965874672,0.14007237553596497,0.0251026451587677,0.04341309517621994,0.2991389036178589,0,0,3,2,3,0,4,56,96,32,58,61,0,3,7,0
9.0,4.0,3.0,2.0,6.0,5.0,7.0,8.0,1.0,0.0,0.11828869581222534,0.13795126974582672,0.22983185946941376,0.056849878281354904,0.06733494251966476,0.05277254059910774,0.05263764411211014,0.28433316946029663,2,1,1,0,2,3,32,4,8,32,10,36,2,2,5,1
6.0,2.0,4.0,9.0,3.0,5.0,8.0,7.0,1.0,0.07159363478422165,0.2087331861257553,0.12965062260627747,0.0,0.1329035609960556,0.11695274710655212,0.0017048459267243743,0.06054380163550377,0.2779175937175751,0,1,1,1,0,0,78,8,8,16,38,94,1,2,9,0
8.0,6.0,1.0,5.0,9.0,7.0,3.0,4.0,2.0,0.021617939695715904,0.07881970703601837,0.24228495359420776,0.10995478928089142,0.0,0.0235897209495306,0.15079648792743683,0.13656924664974213,0.23636719584465027,0,1,0,0,2,1,54,4,88,80,86,114,1,0,2,0
9.0,4.0,3.0,2.0,5.0,6.0,8.0,7.0,1.0,0.0,0.11801575869321823,0.13220791518688202,0.16122157871723175,0.11589531600475311,0.06887497007846832,0.044661108404397964,0.06411690264940262,0.2950064241886139,0,0,0,1,2,0,54,60,56,96,10,58,1,2,8,0
9.0,5.0,3.0,2.0,7.0,4.0,8.0,6.0,1.0,0.0,0.11669494211673737,0.16118893027305603,0.17363137006759644,0.0716257244348526,0.14898978173732758,0.02815942093729973,0.09351802617311478,0.2061917930841446,0,0,2,0,3,0,82,80,112,80,106,115,1,1,8,0
9.0,2.0,5.0,3.0,7.0,4.0,8.0,6.0,1.0,0.0,0.22636675834655762,0.09243347495794296,0.18177783489227295,0.04584188014268875,0.10443522036075592,0.012087421491742134,0.06982682645320892,0.2672305703163147,2,1,3,1,0,3,68,64,72,48,34,51,2,2,1,8
8.0,5.0,2.0,3.0,9.0,4.0,6.0,7.0,1.0,0.014918067492544651,0.09690716117620468,0.17681770026683807,0.13677994906902313,0.0,0.11875273287296295,0.07752999663352966,0.05772385001182556,0.32057055830955505,0,0,3,2,3,1,54,108,72,80,18,101,0,2,8,0
6.0,3.0,4.0,8.0,1.0,7.0,9.0,5.0,2.0,0.08092400431632996,0.16487526893615723,0.1433676779270172,0.06294042617082596,0.1754867434501648,0.07403557002544403,0.0,0.13306961953639984,0.16530068218708038,0,1,0,1,3,2,88,32,112,112,44,70,0,1,2,4
9.0,5.0,2.0,3.0,7.0,4.0,6.0,8.0,1.0,0.0,0.09864585846662521,0.17500688135623932,0.152308389544487,0.05334632843732834,0.12634478509426117,0.07058168202638626,0.01773298904299736,0.30603307485580444,0,1,2,2,1,2,112,36,72,112,2,30,1,2,1,3
8.0,5.0,2.0,4.0,9.0,6.0,7.0,3.0,1.0,0.006036871112883091,0.11343993246555328,0.16817279160022736,0.12358779460191727,0.0,0.10566258430480957,0.0195834469050169,0.15177172422409058,0.3117448687553406,0,0,1,2,0,2,88,12,64,96,70,118,2,2,2,4
9.0,6.0,2.0,3.0,7.0,4.0,8.0,5.0,1.0,0.0,0.08634456992149353,0.1710854470729828,0.15591225028038025,0.05784207582473755,0.141157865524292,0.04460351541638374,0.11029604822397232,0.23275822401046753,0,0,1,1,0,0,94,92,56,112,92,101,1,3,1,6
9.0,3.0,4.0,2.0,5.0,7.0,8.0,6.0,1.0,0.0,0.146624356508255,0.13271009922027588,0.18226473033428192,0.10233568400144577,0.08642760664224625,0.04140002280473709,0.09807851910591125,0.21015898883342743,0,0,2,3,1,0,102,100,72,0,42,59,2,1,7,0
6.0,3.0,2.0,8.0,5.0,9.0,7.0,4.0,1.0,0.05400341749191284,0.1604301482439041,0.18451283872127533,0.009352301247417927,0.06145167350769043,0.0,0.024247677996754646,0.14406931400299072,0.361932635307312,1,1,3,1,2,3,48,8,48,48,54,119,0,0,1,4
9.0,2.0,4.0,3.0,7.0,6.0,8.0,5.0,1.0,0.0,0.1553528904914856,0.1320030391216278,0.14455582201480865,0.09165611863136292,0.10160646587610245,0.015156567096710205,0.11487415432929993,0.24479493498802185,0,0,1,1,0,0,82,12,40,0,30,85,2,0,5,3
8.0,7.0,2.0,3.0,9.0,4.0,5.0,6.0,1.0,0.014319607987999916,0.05993293970823288,0.1957147717475891,0.13128447532653809,0.0,0.10647265613079071,0.0886090099811554,0.088577501475811,0.31508901715278625,0,1,3,0,0,1,70,60,48,48,98,102,1,2,7,2
